kode_gejala,nama_gejala
G001,Benang Pada Sepul Dalam Sekoci Kurang Rapat
G002,Jarum Tidak Sesuai
G003,Benang Yang Lepas dan Menyangkut Pada Mesin
G004,Penumpukan Sisa Serat Kain Pada Gigi Mesin
G005,Salah Menggunakan Jarum
G006,Jarum Bengkok Atau Tumpul
G007,Jarum Terlalu Kecil Ukurannya
G008,Pemasangan Sekoci Kurang Pas Sehingga Terbentur Oleh Jarum
G009,Pemasangan Jarum Kurang Pas
G010,Tension Benang Pengatur Kekencangan
G011,Kurang Baiknya Kualitas Benang
G012,Benang Tersangkut
G013,Ukuran Jarum Salah
G014,Benang Tidak Cocok
G015,Kurang Oli
G016,Kendurnya Tekanan Sepatu Saat Menjahit
G017,Jarum Tumpul Atau Bengkok
G018,Sekoci Kendur dan Sepatu Kurang Menekan Pada Kain
G019,Benang Menyangkut Dibawah Kain
G020,Pengatur Gigi Jahitan Ada di Posisi 0
